Track,Driver,Team,Starting Grid,Year,Target_Tier
22,11,17,6,2022,1
2,32,5,14,2026,1
16,3,12,15,2021,0
21,24,23,9,2023,0
1,16,13,20,2020,2
20,20,15,8,2022,1
5,4,12,4,2021,1
30,21,17,3,2024,0
3,16,13,10,2019,2
34,27,13,18,2023,2
21,12,0,14,2023,2
7,3,16,20,2019,0
30,11,17,12,2023,0
15,11,28,19,2019,2
1,18,1,15,2020,2
21,24,23,1,2024,0
5,21,17,1,2020,0
22,39,23,12,2025,2
9,0,28,22,2026,2
15,38,17,2,2020,2
30,1,1,14,2021,2
11,16,13,18,2024,2
18,35,13,10,2019,2
17,32,6,14,2024,2
9,22,20,14,2026,1
7,0,28,7,2024,2
30,8,6,10,2021,2
15,5,26,7,2019,1
9,34,28,18,2019,2
2,38,0,12,2022,1
19,21,17,10,2023,1
12,11,17,3,2025,1
27,6,2,6,2020,1
3,3,16,19,2019,1
15,37,23,15,2023,1
23,19,7,10,2022,1
1,19,7,15,2025,1
4,19,7,19,2022,2
10,20,16,8,2020,2
8,20,15,14,2022,2
23,4,12,6,2025,2
12,32,6,10,2025,2
5,24,24,2,2022,2
25,7,6,8,2023,1
15,8,6,7,2022,1
17,6,27,12,2019,2
18,16,13,19,2019,2
5,18,1,8,2019,1
17,36,7,11,2022,2
29,8,7,7,2023,2
34,6,27,13,2019,2
30,3,16,7,2020,1
6,24,23,11,2024,1
5,13,19,12,2025,2
18,15,6,19,2025,2
11,6,2,8,2020,1
20,19,7,14,2024,2
15,4,12,4,2020,0
31,36,9,14,2021,2
7,39,18,3,2024,1
3,37,21,6,2020,1
34,34,28,19,2019,2
16,11,17,4,2025,0
28,4,12,4,2021,1
30,16,13,8,2019,1
23,39,18,11,2024,2
3,16,13,19,2023,2
5,39,18,11,2024,2
17,19,7,16,2025,2
20,21,12,3,2025,1
8,0,28,10,2024,2
30,26,28,19,2022,2
32,7,26,7,2020,2
11,4,12,7,2020,1
22,24,22,3,2019,1
3,21,17,8,2022,0
26,28,13,15,2021,2
18,20,15,3,2024,1
21,38,14,16,2024,2
29,0,28,11,2024,2
15,3,16,7,2020,2
21,26,28,19,2022,2
8,4,12,11,2024,2
22,7,13,8,2025,1
20,0,28,14,2023,1
7,27,14,71,2025,1
18,27,10,13,2026,2
7,16,13,12,2023,2
3,18,1,16,2021,2
34,4,12,12,2022,0
31,19,21,12,2020,1
19,22,19,6,2025,2
34,12,0,18,2022,2
27,38,17,1,2020,1
34,8,6,19,2021,2
17,7,26,12,2020,1
13,18,1,12,2019,1
18,0,28,17,2026,2
1,5,15,10,2021,2
34,4,12,4,2021,1
23,9,6,16,2025,2
5,19,21,18,2019,2
15,4,12,3,2019,0
21,37,23,1,2023,0
0,1,1,19,2020,2
6,10,14,10,2025,1
6,8,6,3,2022,1
7,7,6,16,2022,1
15,37,22,20,2021,2
17,1,1,18,2020,2
22,20,15,1,2025,0
1,0,22,5,2019,1
9,32,6,15,2024,2
34,35,13,15,2019,2
16,20,15,3,2025,0
29,6,27,14,2019,2
28,10,14,20,2025,2
25,5,15,14,2021,2
29,8,7,10,2025,1
25,32,6,9,2025,2
10,4,12,4,2020,1
17,3,12,18,2022,1
1,20,15,5,2023,1
22,32,22,8,2019,1
15,21,17,2,2021,0
25,10,14,19,2025,2
2,16,13,7,2019,1
27,32,2,9,2020,2
7,22,19,7,2025,1
4,32,2,4,2021,0
2,24,24,2,2022,2
23,25,13,17,2021,2
23,8,6,13,2022,1
1,21,12,16,2025,1
1,7,13,8,2025,1
19,22,18,14,2024,2
26,24,22,2,2020,0
23,23,28,10,2023,2
32,21,17,6,2020,0
16,24,22,3,2021,1
23,32,6,14,2025,2
18,8,7,12,2025,2
29,19,7,17,2024,2
30,21,17,4,2023,0
30,5,18,18,2024,2
13,18,1,17,2021,2
9,38,17,1,2019,0
26,1,1,17,2021,2
4,3,12,4,2022,2
17,36,9,11,2021,2
3,16,13,12,2024,1
6,24,22,1,2021,0
2,7,6,11,2023,2
34,22,18,19,2024,1
